posted_year,title,sentiment_analysis
2015,Melina (Character for Occult Raise),4
2023,EURGAVA™ - Fight for Haaria,4
2014,Niffelheim,4
2015,Super Fancy Pants Adventure,3
2015,Reptilian Rebellion,3
2023,Ziggurat 3D Chess,3
2014,COLOR RETRO RACER : RALLY MODE *10 Lifes*,3
2014,Sandmason,3
2014,Volstead,3
2014,Rebons: Original Soundtrack,3
2014,Princess Battles,3
2023,Flight to Eternity,3
2015,Inklings,3
2023,Zombitatos the end of the Pc master race,3
2014,Fantasia of the Wind Theme Soundtrack,3
2023,Vickinachi,3
2015,MechWarrior Online™,3
2014,Gladiator Trainer,3
2023,LOG the game,3
2014,Imperatum,3
2023,Button Button,3
2014,Pixel Puzzles Ultimate - Puzzle Pack: Jigsaw,3
2023,Ashes of the Singularity: Escalation - Co-Op Map Pack,3
2023,Soundtrack for Secrets of Grindea,2
2014,Essential Boats,2
2023,Nixon (Character for Occult RERaise),2
2023,No1Left,2
2015,Scapeland,2
2014,Farming Simulator 2013 Lindner Unitrac,2
2014,Audials Tunebite 12 - Upgrade to Audials One Suite,2
2015,Cube Racer,2
2015,SUPERFIGHT - The Red Deck 2,2
2023,OutSplit,2
2015,DRAGON BALL XENOVERSE 2 - Extra Pack 1,2
2023,Painters Guild - Soundtrack,2
2015,Danko and treasure map,2
2023,Pixel Puzzles 2: Birds,2
2023,Ninja Stealth 3,2
2015,Rolling Gauntlet,2
2023,Pixel Puzzles Ultimate - Puzzle Pack: Rio,2
2015,Dawn's Light 2 - Strategy Guide,2
2023,Pixel Puzzles Ultimate - Puzzle Pack: Ukiyo-e,2
2014,Empire Architect,2
2014,Elsword,2
2014,Echelon,2
2014,ELMIA,2
2014,Dwarven Brawl Bros,2
2015,Demon Truck,2
2015,PAKO - Car Chase Simulator,2
2015,Crisis in the Kremlin,2
2015,Factory Engineer,2
2015,FreeStyleFootball - Starter Pack,2
2023,Man of Law | Judge simulator,2
2015,Sparkle 3 Genesis,2
2015,Space Universe,2
2015,City of Steam: Arkadia,2
2015,Galactic Fighter,2
2023,Mia (Character for Occult Raise),2
2015,Full Bore,2
2023,Mibibli's Quest,2
2023,Micron,2
2014,Goliath,2
2014,Gloria Victis,2
2023,Swap Blocks Soundtrack,2
2023,Necrosphere,2
2014,Gauntlet™ Slayer Edition,2
2015,Colony Assault,2
2023,Mirrored - Chapter 1,2
2015,Community Inc,2
2023,Survival Driver,2
2015,Contagion,2
2015,Shoot 'Em Up Kit,2
2015,Crawl,2
2015,Crazy Buggy Racing Soundtracks,2
2015,Crazy Dreamz: MagiCats Edition,2
2014,Flood: The Prequel,2
2015,Forest Guardian,2
2014,Dream Car Builder,2
2014,Dragon Sinker,2
2015,Final Core,2
2015,Emily is Away Too,2
2015,Empire Architect,2
2023,SUNLESS SKIES,2
