posted_year,title,sentiment_analysis
2014,Pixel Puzzles Ultimate - Puzzle Pack: 2000 AD,6
2023,Bot Colony,6
2023,You... and who else?,6
2015,Rust,6
2014,Frontiers.io,6
2015,Pixel Puzzles Ultimate - Puzzle Pack: Aki,5
2014,Aura Kingdom,5
2015,M.EXE,5
2023,Waste Walkers Subsistence,5
2014,Drosoph Hotel,5
2015,CrazyCars3D,5
2014,Crankies Workshop: Whirlbot Assembly,5
2014,Klondike Solitaire Kings,5
2014,A Sirius Game,5
2014,WolfWars,5
2015,Embers of War,5
2014,Next Car Game: Wreckfest,5
2014,VAULT OF HONOR,5
2014,Jumpdrive,5
2015,Sons of Triskelion,5
2014,Custom Town,5
2023,WAKFU - Excarnus Pack,5
2023,S.K.I.L.L. - Special Force 2 - Halloween Pack,5
2014,Caves of Qud,5
2014,Fidget Spinner Editor - Expansion Pack 1,5
2015,VRC PRO Asia On-road tracks Deluxe 2,5
2013,Club Naughty,5
2013,TableTop Soccer,5
2014,Rivalry,5
2014,QR Champions: Jump Start Tournament,5
2023,"I LOVE DROZDOV ""TERRA VIVA""",5
2015,Star Merc,5
2013,Riptide GP2,5
2015,HMM Starter Pack,5
2014,Random Journey,5
2014,Trove,5
2014,Dead Army - Radio Frequency,5
2023,Pixel Puzzles Ultimate - Puzzle Pack: Chernobyl,5
2023,Box Maze 2 - Unlock All Levels,5
2015,Just Fishing,5
2014,BlockShip Wars: Roguelike,5
2015,GameGuru - Expansion Pack,4
2014,Spellweaver - Soldier Reverence Deck,4
2013,Sugy the Christmas elf,4
2013,Super Dungeon Master,4
2014,Disgraced Revolutionary's Edition DLC,4
2015,Tormented 12,4
2014,Cavern Kings,4
2014,Emberdoom,4
2015,Clicker Heroes: Red-Nosed Clickdeer,4
2014,Spellweaver - Duke's Zombies Deck,4
2014,Epic Battle Fantasy 3 - Soundtrack,4
2014,Inner silence,4
2023,Puzzle Box - Soundtrack OST,4
2023,City of Chains,4
2014,Vagrant Hearts Zero,4
2015,No Way Out,4
2014,Empires of the Undergrowth,4
2014,Psebay,4
2023,VALIANT KNIGHTS Typing Battle,4
2013,Of Guards and Thieves - Map Workshop,4
2014,Rules of Destruction,4
2015,HYPER DRIVE ⚠️ The Insane Gravity Race,4
2014,Canvas The Gallery - Artist Pack,4
2014,Castle Crashers®,4
2014,In Celebration of Violence,4
2014,龙魂时刻,4
2015,GameMaker Studio 2 Desktop,4
2015,Agenda,4
2015,Reptilians Must Die!,4
2015,Zombie Town,4
2014,Wildlife Park,4
2014,Microcosmum: survival of cells - Colors for organisms,4
2014,Ascendant,4
2015,Farm Frenzy Collection,4
2023,Dungeon League,4
2015,Planet Explorers,4
2015,Legends of Persia,4
2015,WAKFU - Anathar Pack,4
2015,Alter Ego,4
2015,Golden Fever,4
2014,Star Conflict,4
2014,Ameline and the Ultimate Burger,4
2014,N0-EXIT,4
2014,EVE Online: Multiple Character Training,4
2014,- Occult preRaise -,4
2015,Metin2,4
2015,Heroes of Dark Dungeon,4
2014,Star Conflict: Mercenary Pack - Galaxy Explorer,4
2011,Sven Co-op,4
2014,GI Racing 2.0,4
2015,Pixel Puzzles Ultimate - Puzzle Pack: Winter,4
2015,HammerHelm,4
2015,Pixel Puzzles Ultimate - Puzzle Pack: Volcanoes,4
2015,Axis Game Factory's AGFPRO - Voxel Sculpt DLC,4
2015,Hero Siege - The Karp of Doom,4
2014,GRAV,4
2015,Pixel Puzzles Ultimate - Puzzle Pack: T.C.O.T.C,4
2014,My Lands: Hero Courage - Starter DLC Pack,4
2015,Retro Dungeons,4
2014,侠客风云传(Tale of Wuxia),4
2013,Sometimes: Success Requires Sacrifice,4
2014,Sunset,4
2015,Flesh Eaters,4
2014,Regions Of Ruin,4
2023,WAKFU - Magmog Pack,4
2013,Computer Tycoon,4
2013,Burgers,4
2014,Cheap Golf,4
2014,Antaria Online,4
2014,Eldevin,4
2015,The Climber,4
2015,Expect The Unexpected,4
2014,Mr Makeshifter,4
2014,Squeezone,4
2015,Golf for Workgroups,4
2014,Animation Throwdown: The Quest for Cards,4
2014,Rescue Bear Operation,4
2014,Rescue Bear Operation - Gurney,4
2012,AdventureQuest 3D,4
2023,REVERSE SIDE,4
2013,Northgard,4
2015,BROKE PROTOCOL: Online City RPG,4
2015,Alchemyland,4
2014,Pixel Puzzles Ultimate - Puzzle Pack: Santa,4
2015,Verzaken!,4
2015,Achievement Hunter: Darkness,4
2013,Trenches of War,4
2023,Bubonic: Outbreak,4
2014,FIRST STEAM GAME VHS - COLOR RETRO RACER : MILES CHALLENGE,4
2014,Kukui,4
2014,Quantum Rush Champions,4
2015,Freaky Awesome,4
2014,Tabletop Simulator - Tiny Epic Defenders,4
2014,Baseball Mogul 2017,4
2015,EVE Online: 3 Months Omega Time,4
2015,"I, Gladiator - Kolhid Sword",4
2014,Bang Bang Car,4
2015,Iron Madness,4
2015,Unlimited,4
2023,The Wild Eight,4
2014,MadOut2 BigCity,4
2015,Pure Hold'em - Paradise City Chipset,4
2015,Cars with Guns: It's About Time,4
2014,Fated Souls 2,4
2014,The Caribbean Sail,4
2015,Carton,4
2015,Low Desert Punk,4
2015,Qbike: Synthwave Soundtrack,4
2014,Seconds to Square,4
2023,The Mimic,4
2015,Star Control: Kessari Quadrant,4
2014,ProtoMasons,4
2013,Time of Dragons,4
2014,Bionite: Origins,4
2023,PARKAN: THE IMPERIAL CHRONICLES,4
2015,Starblast,4
