release_year,genero,playtime_hours
2017,Indie,3861
2016,Indie,2653
2017,Action,2413
2017,Casual,2014
2017,Adventure,1928
2015,Indie,1775
2016,Action,1680
2016,Adventure,1421
2016,Casual,1339
2017,Strategy,1219
2015,Action,1215
2017,Simulation,1204
2017,RPG,1031
2015,Adventure,959
2016,Strategy,935
2016,Simulation,925
2014,Indie,856
2016,RPG,656
2014,Action,655
2015,Strategy,625
2015,Casual,623
2015,Simulation,617
2017,Early Access,561
2015,RPG,523
2014,Adventure,451
2017,Free to Play,418
2013,Action,403
2012,Action,359
2014,Strategy,358
2016,Free to Play,346
2014,Casual,322
2014,RPG,319
2017,Sports,309
2013,Indie,306
2014,Simulation,284
2016,Early Access,277
2013,Strategy,275
2017,Massively Multiplayer,256
2016,Sports,253
2017,Racing,252
2012,Indie,251
2013,Adventure,229
2012,Strategy,225
2013,Simulation,221
2012,Simulation,210
2016,Racing,196
2015,Free to Play,179
2012,Casual,173
2016,Massively Multiplayer,168
2015,Early Access,166
2013,Casual,159
2011,Action,149
2013,RPG,140
2011,Strategy,129
2012,Adventure,125
2011,Indie,120
2015,Sports,120
2010,Action,115
2015,Racing,98
2014,Free to Play,96
2015,Massively Multiplayer,94
2010,Strategy,86
2012,RPG,86
2010,Indie,79
2017,Design &amp; Illustration,77
2011,Adventure,66
2011,RPG,63
2011,Casual,62
2009,Action,61
2010,Adventure,61
2016,Design &amp; Illustration,60
2014,Sports,60
2011,Simulation,59
2009,Simulation,59
2014,Racing,58
2014,Early Access,54
2017,Web Publishing,54
2010,Casual,52
2014,Massively Multiplayer,50
2013,Free to Play,50
2009,Strategy,49
2009,Indie,46
2009,Casual,44
2007,Action,43
2018,Indie,41
2010,Simulation,41
2010,RPG,40
2008,Adventure,38
2008,Casual,37
2008,Indie,36
2009,Adventure,35
2015,Design &amp; Illustration,33
2013,Racing,33
2017,Utilities,32
2013,Sports,31
2006,Action,31
2016,Web Publishing,30
2008,Action,30
2006,Strategy,30
2013,Massively Multiplayer,27
2012,Free to Play,26
2003,Action,26
2005,Action,25
2014,Design &amp; Illustration,25
2007,Strategy,25
2014,Web Publishing,24
2012,Racing,24
2016,Utilities,23
2003,Strategy,23
2009,RPG,22
2007,Adventure,22
2015,Utilities,21
2017,Animation &amp; Modeling,21
2007,Casual,21
2006,Casual,20
2008,Strategy,20
2006,Simulation,19
2013,Web Publishing,19
2005,Strategy,19
2018,Action,19
2001,Strategy,18
2004,Action,18
2013,Design &amp; Illustration,18
2006,Indie,18
2015,Web Publishing,18
1999,Action,17
2008,RPG,17
2015,Animation &amp; Modeling,17
2007,Indie,16
2007,Simulation,16
